source_clean,function_1,function_2,function_3,function_4,function_5,function_6,application_clean
013 denim,recycle yarn,weave fabric,support innovation,connect community,,,large work of art presented to the dutch royal family
100 bacterial dye,produce pigments,create sustainable alternative,reduce water usage,minimize energy consumption,,,microbial colour library for dyeing textiles
basalt knitted fabric,reinforce fabric,prevent algal growth,extend residence time,conduct heat poorly,resist electricity,,reinforcement fabric for maritime applications
100 biobased flax panel,provide structural support,reduce environmental impact,enable biobased composition,,,,interior wall panels
100 rejects waxed printed cotton,recycle textiles,create carpets,reduce waste,innovate design,,,high quality recycled carpets
2 000 000 000 precious pieces,provide novel materials,offer aesthetic value,serve as raw materials,,,,manufacturing of bio composites
2 5d print,create relief,dry quickly,print colourful patterns,,,,decorative wall panels with raised textures
2000n pressed shoe,moulding material,testing quality,minimizing irregularities,applying patterns,exploring aesthetics,,collection of shoes
2tec2 high tech flooring,reduce impact sounds,absorb footsteps,provide durability,enable easy cleaning,,,acoustically enhanced flooring for public spaces
2tec2 marble desert,provide nature inspired design,offer durability,ensure easy maintenance,deliver acoustic properties,resist uv exposure,,high quality floor coverings
2tec2,provide strength,offer wear resistance,ensure stain resistance,allow moisture resistance,facilitate easy cleaning,,durable bathroom carpet
3d veneer,deep draw veneer,form stability,join veneers,custom produce parts,,,curved furniture components
37 5 technology cvc woven,regulate temperature,manage humidity,remove sweat,trap energy,,,activewear garments that regulate body temperature
37 5 technology wpb laminate,attract water vapour,remove sweat,trap energy,,,,waterproof breathable jacket
3d bamboo wall panels,provide flame retardance,offer water repellence,allow paint application,create aesthetic texture,,,decorative wall paneling
3d biaxial knitted fabric,provide flexibility,offer structural stability,absorb force,maintain strength,,,high performance composite structures
3d brocade all over lurex,weave decorative,produce ornamental,create embossed,,,,decorative upholstery fabric
3d composites,create strong constructions,enhance durability,reduce waste,apply colour and texture,,,lightweight aircraft components
3d core,provide flexibility,improve strength,create hybrid,,,,lightweight sandwich panels for structural components
3d design,create three dimensional structures,process with laser technology,form surfaces with vacuum,,,,decorative wall panels with 3d effects
3d engineered sound barrier,absorb sound,muffle noise,create quiet space,,,,acoustic panels for residential interiors
3d engraved glass,engrave image,create customised products,reduce distortion,,,,custom decorative panels with lighting
