node,label,category
optical tiles,optical tiles,source
raffia,raffia,source
pmma (acrylic),pmma (acrylic),source
beech wood,beech wood,source
recycled audio tape,recycled audio tape,source
nanocomposite,nanocomposite,source
beverage cartons,beverage cartons,source
asphalt,asphalt,source
recycled pet bottles,recycled pet bottles,source
natural ingredients,natural ingredients,source
natural stone,natural stone,source
waterborne stain,waterborne stain,source
flax fibers,flax fibers,source
padding polymer,padding polymer,source
upcycled pet-waste,upcycled pet-waste,source
synthetic resin plaster,synthetic resin plaster,source
biopolymers,biopolymers,source
recycled fabric,recycled fabric,source
fiber-reinforced composite,fiber-reinforced composite,source
bamboo,bamboo,source
wood veneers,wood veneers,source
date pits,date pits,source
lycra,lycra,source
expanded glass,expanded glass,source
wooden textile,wooden textile,source
chipboard,chipboard,source
glass fabric,glass fabric,source
brazilian cowhide,brazilian cowhide,source
blood,blood,source
metallic surfaces,metallic surfaces,source
reindeer moss,reindeer moss,source
aramid,aramid,source
citrus peels,citrus peels,source
latex,latex,source
cement impregnated fabric,cement impregnated fabric,source
thermoplastic polyester,thermoplastic polyester,source
paper,paper,source
washi paper,washi paper,source
cork and concrete,cork and concrete,source
phenolic or polyester resins,phenolic or polyester resins,source
used banners,used banners,source
hogweed veneer,hogweed veneer,source
high pressure laminates,high pressure laminates,source
reclaimed wood,reclaimed wood,source
milk protein,milk protein,source
pes,pes,source
pir,pir,source
translucent marble,translucent marble,source
carbon black,carbon black,source
champagne chalk,champagne chalk,source
recycled jeans fibres,recycled jeans fibres,source
pine bark,pine bark,source
metal blend,metal blend,source
birch bark,birch bark,source
glass fibers,glass fibers,source
wisteria bark fibres,wisteria bark fibres,source
polyurethane foam,polyurethane foam,source
stone,stone,source
pvb,pvb,source
fungi,fungi,source
mylar,mylar,source
pet-g,pet-g,source
photoluminescent aggregate,photoluminescent aggregate,source
hemp,hemp,source
grass,grass,source
barnwood,barnwood,source
gelatin,gelatin,source
bioresin,bioresin,source
auxetic yarn,auxetic yarn,source
varnish,varnish,source
iron sludge,iron sludge,source
thermoplastic olefin,thermoplastic olefin,source
silicone coating,silicone coating,source
vegetal waste and minerals,vegetal waste and minerals,source
wall panels,wall panels,source
biobased raw materials,biobased raw materials,source
metal sheets,metal sheets,source
veneer,veneer,source
olive leaves,olive leaves,source
geopolymer concrete,geopolymer concrete,source
biomass,biomass,source
polymeric colorants,polymeric colorants,source
coatings,coatings,source
nylon and viscose,nylon and viscose,source
resin,resin,source
expanded polyethylene,expanded polyethylene,source
cotton seed hulls,cotton seed hulls,source
wood fibre,wood fibre,source
biopolymer binder,biopolymer binder,source
polypropylene,polypropylene,source
aluminum oxidant,aluminum oxidant,source
plant-based materials,plant-based materials,source
recycled mineral fibres,recycled mineral fibres,source
meranti hardwood,meranti hardwood,source
fish skin,fish skin,source
leather composite,leather composite,source
recycled content,recycled content,source
activated carbon cloth,activated carbon cloth,source
glass mineral wool,glass mineral wool,source
fiberglass,fiberglass,source
foam filled honeycomb,foam filled honeycomb,source
etfe film,etfe film,source
recycled materials,recycled materials,source
acoustic material,acoustic material,source
polyester high tenacity,polyester high tenacity,source
silverskin,silverskin,source
gres porcelain,gres porcelain,source
adsorbents,adsorbents,source
cow manure,cow manure,source
transparent conductive polymer film,transparent conductive polymer film,source
hemp shives,hemp shives,source
sand,sand,source
mulberry paper,mulberry paper,source
loam and hemp,loam and hemp,source
carbon-silicon-iron-epoxy,carbon-silicon-iron-epoxy,source
polycarbonate,polycarbonate,source
wood fibres,wood fibres,source
polyurethane varnish,polyurethane varnish,source
wood flour,wood flour,source
terrazzo,terrazzo,source
cellulose,cellulose,source
glass fibres,glass fibres,source
recycled plastics,recycled plastics,source
316l stainless steel wire,316l stainless steel wire,source
pla,pla,source
cashmere,cashmere,source
marble powders and cement,marble powders and cement,source
linen thread,linen thread,source
earth,earth,source
brass,brass,source
marbon,marbon,source
alumino-silicate glass,alumino-silicate glass,source
recycled shellfish waste,recycled shellfish waste,source
flax yarn,flax yarn,source
ceramics,ceramics,source
tree branches,tree branches,source
magnesium oxide,magnesium oxide,source
melamine resin,melamine resin,source
glass foam,glass foam,source
mineral material,mineral material,source
polyethylene-based fiber,polyethylene-based fiber,source
mdf,mdf,source
dutch wool,dutch wool,source
embossed material,embossed material,source
eucalyptus cloeziana timber,eucalyptus cloeziana timber,source
carbonium,carbonium,source
gravel,gravel,source
wood residues,wood residues,source
synthetic turf,synthetic turf,source
fibre metal laminate,fibre metal laminate,source
portland cement,portland cement,source
polyester nonwoven material,polyester nonwoven material,source
organic photochromic colourant,organic photochromic colourant,source
pine,pine,source
loam,loam,source
glass fibre,glass fibre,source
recycled polyester,recycled polyester,source
thermoplastic polyester sheets,thermoplastic polyester sheets,source
ink,ink,source
bio-based materials,bio-based materials,source
plant-based biomass,plant-based biomass,source
felted wool,felted wool,source
wood plastic composite,wood plastic composite,source
borosilicate glass,borosilicate glass,source
wax,wax,source
vegetable matter,vegetable matter,source
carbonyl iron,carbonyl iron,source
upcycled ingredients,upcycled ingredients,source
aluminum honeycomb core,aluminum honeycomb core,source
recycled lldpe,recycled lldpe,source
recycled newspapers,recycled newspapers,source
ultra lightweight concrete,ultra lightweight concrete,source
hemp fibre,hemp fibre,source
plastic,plastic,source
jute and cotton,jute and cotton,source
daphne cannabina bark,daphne cannabina bark,source
recycled mineral fibre,recycled mineral fibre,source
metal,metal,source
plastic fibers,plastic fibers,source
high tech yarn,high tech yarn,source
semi-precious stones,semi-precious stones,source
scoria,scoria,source
polyurethane and natural stone,polyurethane and natural stone,source
gypsum-cardboard panels,gypsum-cardboard panels,source
titanium dioxide,titanium dioxide,source
elephant grass fibers,elephant grass fibers,source
liquidmetal alloys,liquidmetal alloys,source
copper alloy,copper alloy,source
straw,straw,source
recycled plastic materials,recycled plastic materials,source
xylogramm,xylogramm,source
nanocrystalline metal/polymer hybrid,nanocrystalline metal/polymer hybrid,source
steel slag,steel slag,source
artificial leather,artificial leather,source
flame-resistant fibre,flame-resistant fibre,source
ceramic steel,ceramic steel,source
acrylic paint,acrylic paint,source
glass polymer,glass polymer,source
polyamide and spandex,polyamide and spandex,source
fumed silica,fumed silica,source
coconut shells,coconut shells,source
foam gravel,foam gravel,source
polyurethane fabric,polyurethane fabric,source
polyester fibers,polyester fibers,source
water-based slurry,water-based slurry,source
polypropylene fabric,polypropylene fabric,source
parchment,parchment,source
fibreglass,fibreglass,source
pp sheets,pp sheets,source
electro reactive material,electro reactive material,source
wood-based boards,wood-based boards,source
natural fiber composite,natural fiber composite,source
cactus fibres,cactus fibres,source
matrix code,matrix code,source
urban plant waste,urban plant waste,source
scoby,scoby,source
recycled jeans fibers,recycled jeans fibers,source
cotton fabric,cotton fabric,source
recycled pet-waste,recycled pet-waste,source
recycled hdpe fishing nets,recycled hdpe fishing nets,source
plant fibre and mushroom-mycelium,plant fibre and mushroom-mycelium,source
solid surface material,solid surface material,source
marine plastic,marine plastic,source
recycled textile and plastic waste,recycled textile and plastic waste,source
cement and resin,cement and resin,source
tomato fibres,tomato fibres,source
unrecyclable fabric scraps,unrecyclable fabric scraps,source
coconut shell,coconut shell,source
laminate,laminate,source
fire retardant coating,fire retardant coating,source
wood veneer,wood veneer,source
new zealand wool,new zealand wool,source
ultra high performance concrete,ultra high performance concrete,source
composites,composites,source
vegetable colouring agent,vegetable colouring agent,source
plasma rock,plasma rock,source
kee – elvaloy® terpolymer,kee – elvaloy® terpolymer,source
thermoplastic film,thermoplastic film,source
ballistic material,ballistic material,source
titanium,titanium,source
lime plaster,lime plaster,source
synthetic leather,synthetic leather,source
natural fibre composite,natural fibre composite,source
acoustic fabric,acoustic fabric,source
plant fibre,plant fibre,source
antron excel sc yarn,antron excel sc yarn,source
pineapple leaf fibre,pineapple leaf fibre,source
mother of pearl,mother of pearl,source
aquatic plants,aquatic plants,source
low density polyethylene,low density polyethylene,source
tea clay,tea clay,source
wheatgrass,wheatgrass,source
terracotta,terracotta,source
dried grass,dried grass,source
polyester-fleece,polyester-fleece,source
tpe elastics,tpe elastics,source
beech laminated veneer lumber,beech laminated veneer lumber,source
biodegradable polymers,biodegradable polymers,source
denim fabric,denim fabric,source
waterborne binder,waterborne binder,source
polyester space fabric,polyester space fabric,source
copper alloys,copper alloys,source
excavated soil,excavated soil,source
acrylic solid surface,acrylic solid surface,source
phosphorus,phosphorus,source
biobased materials,biobased materials,source
expanded polystyrene foam,expanded polystyrene foam,source
galvanized steel,galvanized steel,source
polyester,polyester,source
light emitting film,light emitting film,source
algae,algae,source
palm fibre,palm fibre,source
printed illumination panels,printed illumination panels,source
polyolefin resins,polyolefin resins,source
bio-attributed pvc resins,bio-attributed pvc resins,source
chalk and coal,chalk and coal,source
cementitious mineral,cementitious mineral,source
silk fabric,silk fabric,source
terra cotta,terra cotta,source
waste materials,waste materials,source
hpl,hpl,source
composite material,composite material,source
leather fibres,leather fibres,source
fly ash,fly ash,source
calcium silicate,calcium silicate,source
silicone rubber,silicone rubber,source
cement-based composite,cement-based composite,source
liquid glass,liquid glass,source
elephant dung,elephant dung,source
paper residual,paper residual,source
wire netting,wire netting,source
cacao paper,cacao paper,source
natural stone and concrete,natural stone and concrete,source
hardwood,hardwood,source
low-density foam,low-density foam,source
quartz,quartz,source
cow dung,cow dung,source
nylon textile,nylon textile,source
silica,silica,source
milk fibre,milk fibre,source
polyamide,polyamide,source
organic materials,organic materials,source
cross-link closed-cell polyethylene foam waste,cross-link closed-cell polyethylene foam waste,source
leather,leather,source
eucalyptus grandis,eucalyptus grandis,source
tpu membrane,tpu membrane,source
architectural film,architectural film,source
plastic waste material,plastic waste material,source
mineral by-products,mineral by-products,source
high-performance polymers and minerals,high-performance polymers and minerals,source
melamine faced boards,melamine faced boards,source
corn husks,corn husks,source
float glass,float glass,source
fruit waste,fruit waste,source
wood and resin,wood and resin,source
acrylic,acrylic,source
