url,material_name,Category,Code,Country,Brand,post_text,tags,Sensorial_Glossiness,Sensorial_Translucence,Sensorial_Structure,Sensorial_Texture,Sensorial_Hardness,Sensorial_Temperature,Sensorial_Acoustics,Sensorial_Odour,Technical_Fire Resistance,Technical_UV Resistance,Technical_Weather Resistance,Technical_Scratch Resistance,Technical_Weight,Technical_Chemical Resistance,Technical_Renewable
https://materialdistrict.com/material/013-denim/,013 Denim,Other naturals,ONA791,Netherlands,013 Denim,"013 Denim is made 50% from recycled denim garments from Tilburg and 50% from organic cotton yarn from India. For the first production, the denim garments were collected in February 2017 by residents of Tilburg and 6 primary schools in the city. The denim garments were then recycled into denim yarn by the textile company Wolkat in Morocco. The Indian cotton comes from Indian cotton farmers who get a better price for their cotton. Rabobank Foundation finances these types of cooperatives in South India with microcredits. The two yarns were woven together by Wolkat in Morocco into a new, sustainable textile fabric.

The yarns of 013 Denim symbolize the yarns that connect Tilburg as a city: the best of business, culture, education and citizens are literally and figuratively interwoven. In addition, the fabric tells a special story about the way in which this fabric was created. Students of ROC Tilburg, School for Fashion and Tilburg artist Joris van Spaendonck used 013 Denim for a large work of art and various products that were presented to the Dutch royal family on King’s Day. Teachers from Fontys Academy for Creative Industries contributed ideas about the presentation on King’s Day.

The denim is supported by various parties in Tilburg who honour Tilburg’s textile past and want to work with textile in an innovative and sustainable way. The participating parties are: 013 Straatjes, Wolkat 100% circular recycling, Fontys Academy for Creative Industries, Michel Klop Fotografie, Rabobank Tilburg, ROC Tilburg | School for Fashion and VeertienElf Media. The project is supported by City marketing Tilburg, De Kerf & Van Sprang notaries, Municipality of Tilburg, Interpolis, Rabobank Foundation and Van Boekel Smits & Willems. Other parties that are part of the Tilburg Textile Group: Bonheur Horeca Groep, Havep, Innofa, Joris van Spaendonck, TextielMuseum and Tricorp.","Biobased, Recycling, Sustainable, Other naturals, fabric, textile",Matte,0-50%,Open,Smooth,Soft,Warm,Moderate,None,Moderate,Good,Moderate,Moderate,Light,Poor,Yes
https://materialdistrict.com/material/100-bacterial-dye/,100% bacterial dye,Coatings,COA274,Netherlands,Lab_Made,"“LAB_MADE” illustrates the potential of grown pigments. These samples have been dyed with pigments obtained from bacteria. Bacteria can be grown instead of produced and their rapid production rate makes them an interesting resource to work with.

As a result of a cross-disciplinary research supported by Textiellab Amsterdam, UMC, and WaagSociety, designer Karlijne Opmeer developed a microbial colour library produced by bacteria in a closed system with little water and energy; a sustainable alternative to todays dyeing industry. A living colour palette is created which serves as a starting point that can potentially write the future of the dyeing industry.","Biobased, Sense & Sensibility, Coatings",Matte,0-50%,Closed,Medium,Soft,Medium,Poor,None,Unknown,Moderate,Moderate,Moderate,Light,Moderate,Yes
https://materialdistrict.com/material/100-basalt-fabric/,Basalt knitted fabric,Natural stones,NST106,Switzerland,Swisstulle AG,"Basalt knitted fabrics are made from stone fibre that is obtained from the volcanic basalt. It has a melting point at 1450°C. The material is available in various knits and incombustible (A1 according to DIN 4102). The strength and elongation of basalt fibres is 15 per cent higher than glass fibres.

The material has a good drapability, for example as reinforcement fabric in the maritime branch. Basalt prevents algal growth and extends the potential residence time in water. Basalt also has a low thermal conductivity and a high electrical resistance.","Lightweight, Natural stones, basalt, fabric",Glossy,0-50%,Open,Variable,Soft,Cool,Poor,None,Good,Good,Good,Good,Light,Good,No
https://materialdistrict.com/material/100-biobased-flax-panel/,100% Biobased Flax panel,Other naturals,ONA581,Netherlands,Linex Pro Grass,"These panels are made of flax fibers and a biobased glue, which makes it a 100% biobased material. Scientific research has shown that flax is among the most environmentally-friendly textile fibers as flax grows using hardly any chemical fertilizers or pesticides.

During the harvest the flax is retted in a natural manner. Flax is, moreover, one of the few types of fibers that do not need to be strengthened before processing so that rinsing, which can result in water pollution, is not required. The panels can be used for all kinds of interior use.

This material is an indispensable link in the chain of the flax industry because it uses its by-products and therefore is no waste of natural resources. It is available in sizes up to 2500 x 150 mm, with special sizes available.

Other key dimensions are: thicknesses from 16mm to 50 mm, density from 320 kg/m3 up to 560 kg/m3 and Environmental norm: category E1.","Biobased, Ecology, Sustainable, Other naturals",Matte,0%,Closed,Medium,Hard,Warm,Good,Moderate,Unknown,Moderate,Poor,Good,Medium,Moderate,Yes
https://materialdistrict.com/material/100-rejects-waxed-printed-cotton/,100% rejects waxed printed cotton,Other naturals,ONA918,Netherlands,Studio Simone Post,"‘Vlisco Recycled Carpets’ builds on extensive material research Simone Post initiated into the leftover textiles of Vlisco, a Dutch-based textile manufacturer of high-end wax-printed fabrics mainly exported to Africa. The process of designing and producing these fabrics is complicated. In each of the 27 treatments the wax fabric goes through, things can go wrong. Safeguarding their quality standard, Vlisco cannot bring the misprints to market. Only the best of the best goes to Africa.

Simone Post has developed a line of high-quality carpets using Vlisco’s rejects. Whereas destruction of the leftover and rejected textiles is time consuming and a waste of all the energy that went into creating the cloth, recycling is environmentally sustainable and also offers a challenging platform for innovation. The ‘waste’ is made in the Netherlands and the carpets are produced locally in Post’s own studio in the Netherlands as well, keeping the transport impact very low.

Inspired by the side view of the large rolls used to store and transport the textiles, the fabrics are cut into thin strips and then folded and coiled into sturdy carpets. With endless possible colour combinations, a unique product is created each and every time.","Biobased, Recycling, Sense & Sensibility, Other naturals, carpet",Matte,0%,Closed,Medium,Resilient,Warm,Good,None,Good,Good,Good,Good,Medium,Moderate,Yes
https://materialdistrict.com/material/2-000-000-000-precious-pieces/,"2,000,000,000 Precious Pieces",Other naturals,ONA828,Netherlands,Rachelle Hornesch,"2,000,000,000 Precious Pieces is a material research into waste flowers. Designer Rachelle Hornesch was inspired during her work as a florist at Garden Centre Gronsveld. On average, in the Netherlands 2 billion cut flowers are discarded each year.

During her research, Hornesch found that this waste stream can be of great value. The majority of the flowers that end up in the garbage are hardly damaged and contain a considerable aesthetic value that is reflected in exceptional colours and remarkable structures. In addition to its aesthetic value, this waste stream offers usable raw materials that can serve as a basis for new materials. Her sample archive shows that these raw materials can be used in the manufacturing of papyrus, pigments, dyes and bio composites.","Biobased, Other naturals",Variable,0-50%,Closed,Medium,Resilient,Medium,Moderate,Moderate,Poor,Good,Poor,Moderate,Medium,Poor,Yes
https://materialdistrict.com/material/2-5d-print/,2.5D print,Coatings,COA140,Netherlands,Jannie Schmitz,"The Elevated Graphics Collection is a collection of flat and rigid surfaces printed with multiple layers of ink, up to 10mm, creating a very detailed relief in full colour. A key difference with 3D printing is the use of an ultraviolet hardening ink. A UV lamp integrated in the print head dries the CMYK ink as it is printed. This texture has a decorative effect, with the small, raised ink deposits forming full-colour patterns across the printed area. With their ‘Elevated Graphics’ collection, designers Jannie Schmitz and Daan de Haan have created a range of highly detailed relief in full colour.

This collection is produced with Océ High Resolution print technology. Other applications of the technique could include printing relief containing information for the poorly sighted. Replicas of works of art are also possible, which would, for instance, allow visitors to a museum to touch realistic copies of famous paintings.

The maximum printing size of a panel is 250 cm x 125 cm The maximum elevation height is 10mm.

Every colour is possible in the CMYK range.

Material: the printing surface must be flat and rigid. The surface material can be GatorFoam, Dibond or acrylic (PMMA) in various thinknesses. Special materials like wood, metal or glass and mirrors are also possible.

Applications for interior use are for instance wall panels, ceiling panels, bar fronts, artworks, feature wall, signage in braille, protoypes (architecture), reliefs maps, book covers, room dividers, doors (glass / wood), dividers & screens or wall cladding-back-lit indoor.","Sense & Sensibility, Coatings",Matte,0%,Closed,Coarse,Hard,Medium,Moderate,None,Moderate,Moderate,Moderate,Moderate,Light,Moderate,No
https://materialdistrict.com/material/2000n-pressed-shoe/,2000N Pressed Shoe,Plastics,PLA1213,Netherlands,Studio Joris de Groot,"For the Low & Bonar’s In4nite II project, Studio Joris de Groot has carefully examined the various techniques that are applied in the manufacturing of car interiors, and translated this into a collection of shoes. One of the current uses for Low & Bonar’s material Colback is its implementation in the automotive industry, where it is incorporated in the upholstery of car interiors.

Having researched the materials that comprise car upholstery, Joris shifted his focus towards the moulding of the material. In the research and development center of Low & Bonar, the quality of the material is tested in order to minimize irregularities within the interior. A linear pattern is applied in this moulding process, to monitor the ways in which the material behaves when it is formed. Inspired by this process, Joris appropriated the technology in a new way by converting it to form shoes. During this process, he explored the tufted Colback material by playing with the linear patterns; the details and inconsistencies that emerged constitute the aesthetic character of his collection. These reveal the techniques as well as the materials behind the design.

From the tufted and moulded material of the body and the carpeting, to the finishing procedures of car mats that round off the edges of the design, the diverse range of techniques that are applied in the manufacturing of car interiors come together in this collection of shoes.

Studio Joris de Groot is interested in collaborations for the further development or application of this material.","Sense & Sensibility, Plastics, shoes",Matte,0%,Closed,Medium,Resilient,Warm,Good,None,Good,Good,Moderate,Moderate,Medium,Good,No
https://materialdistrict.com/material/2tec2-high-tech-flooring/,2tec2 high tech flooring,Plastics,PLA1298,Belgium,2tec2,"Woven vinyl flooring combined with an acoustical felt layer.

The 2tec2 Comfort Backing® is made out of recycled PET bottles and reduces impact sounds up to 19 dB. Footsteps are also absorbed which make 2tec2-floors, with this new felt layer, almost acoustically as good as carpet tiles (0,15 αw). Besides this, 2tec2 is very durable and easy to clean. All these advantages make 2tec2 flooring suitable for hospitality, workspaces, healthcare, public spaces and retail. The Comfort Backing® is standard on all rolls and tiles of 2tec2.","Sense & Sensibility, Plastics, floor covering, flooring, soft floors",Matte,0%,Closed,Medium,Resilient,Warm,Good,None,Good,Good,Moderate,Good,Medium,Moderate,No
https://materialdistrict.com/material/2tec2-marble-desert/,2tec2 – Marble & Desert,Plastics,PLA1383,Belgium,2tec2,"Nature is and always will be a rich and ever-present source of inspiration. Minerals such as sand and marble are found everywhere. These raw, unprocessed components, with their rough shell, possess infinite beauty and potential. They determine the colour of our being, and especially today, the colour of our interiors.

Nature is very prominent in today’s trends. Sustainability and ecology are becoming increasingly important and terrestrial-inspired designs are showing up everywhere. Mother Earth is making her way into our interiors and this includes office buildings, retail and restaurants. Highly technical and durable floors that can stand the test of time are essential. Good acoustic properties, easy maintenance, as well as UV, water and shock resistance are key for these floors. This well-considered balance between natural design and strong materials stimulates a motivating, inspiring and relaxing (working) environment and brings comfort to users.

2tec2’s new Marble & Desert collections match our longing for nature and sustainability. 2tec2 has polished the ‘rough diamonds’, marble and sand, into two high-quality and technically advanced floor coverings and the result is two woven vinyl collections. They stay true to their original source of inspiration by preserving the beauty of the mineral.

With the looks of a carpet, but with the advantages of a hard floor and a pure mineral interpretation, these two collections are the epitome of innovative design.","Sense & Sensibility, Plastics, flooring",Matte,0%,Closed,Medium,Resilient,Medium,Moderate,None,Good,Good,Good,Good,Medium,Moderate,No
