u,v,weight,edge_type
optical tiles,reflect-light,1.0,cooccurrence
optical tiles,sculpt-image,1.0,cooccurrence
optical tiles,transform-surface,1.0,cooccurrence
optical tiles,ceramic tiles,0.6671097874641418,semantic
raffia,stitching-noun,1.0,cooccurrence
raffia,joining-noun,1.0,cooccurrence
raffia,applying-noun,1.0,cooccurrence
pmma (acrylic),deliver-illumination,1.0,cooccurrence
pmma (acrylic),transport-light,1.0,cooccurrence
pmma (acrylic),stay-cool,1.0,cooccurrence
pmma (acrylic),provide-lighting-solution,1.0,cooccurrence
pmma (acrylic),acrylic,0.6931574940681458,semantic
pmma (acrylic),acrylic paint,0.6330095529556274,semantic
pmma (acrylic),cast acrylic,0.6226837635040283,semantic
beech wood,drive-nail,1.0,cooccurrence
beech wood,weld-nail,1.0,cooccurrence
beech wood,provide-alternative,1.0,cooccurrence
beech wood,acacia wood,0.6877304911613464,semantic
beech wood,balsa wood,0.7052150964736938,semantic
beech wood,beech laminated veneer lumber,0.7358465194702148,semantic
beech wood,pine wood,0.829177975654602,semantic
beech wood,wood,0.8063371181488037,semantic
beech wood,oak wood,0.7909594774246216,semantic
beech wood,chestnut wood,0.7802915573120117,semantic
beech wood,larch wood,0.7353681325912476,semantic
beech wood,olive wood,0.7330953478813171,semantic
beech wood,solid wood,0.7273858785629272,semantic
beech wood,timber,0.71668541431427,semantic
beech wood,birch,0.6950469613075256,semantic
beech wood,birch plywood,0.694066047668457,semantic
beech wood,hardwood,0.7040279507637024,semantic
beech wood,hardwood plywood,0.6467664837837219,semantic
beech wood,spruce,0.6484891176223755,semantic
beech wood,spruce plywood,0.670403778553009,semantic
beech wood,teak wood,0.6512239575386047,semantic
beech wood,wood veneers,0.6509333252906799,semantic
recycled audio tape,record-sound,1.0,cooccurrence
recycled audio tape,create-textile,1.0,cooccurrence
recycled audio tape,transmit-sound,1.0,cooccurrence
nanocomposite,provide high stiffness,1.0,cooccurrence
nanocomposite,ensure excellent printing accuracy,1.0,cooccurrence
nanocomposite,resist deformation,1.0,cooccurrence
nanocomposite,withstand high humidity,1.0,cooccurrence
nanocomposite,support heavy loads,1.0,cooccurrence
nanocomposite,biocomposite,0.6470232009887695,semantic
nanocomposite,nano technology,0.6748753786087036,semantic
nanocomposite,nano-sand,0.6280118823051453,semantic
nanocomposite,nanogel,0.6255823373794556,semantic
beverage cartons,recycle-material,1.0,cooccurrence
beverage cartons,glue-bonding,1.0,cooccurrence
beverage cartons,create-board,1.0,cooccurrence
beverage cartons,recycled beverage carton material,0.7343103885650635,semantic
asphalt,reflect-nature,1.0,cooccurrence
asphalt,show-aesthetic,1.0,cooccurrence
asphalt,manifest-capabilities,1.0,cooccurrence
recycled pet bottles,reduce waste,1.0,cooccurrence
recycled pet bottles,save energy,1.0,cooccurrence
recycled pet bottles,save water,1.0,cooccurrence
recycled pet bottles,lower emissions,1.0,cooccurrence
recycled pet bottles,provide comfort,1.0,cooccurrence
recycled pet bottles,ensure strength,1.0,cooccurrence
recycled pet bottles,recycled pet,0.7914237976074219,semantic
recycled pet bottles,recycled pet blend,0.6737048625946045,semantic
recycled pet bottles,recycled pet-waste,0.7765229940414429,semantic
recycled pet bottles,recycled plastic bottle caps,0.7078919410705566,semantic
recycled pet bottles,recycled pet felt,0.6724953651428223,semantic
recycled pet bottles,upcycled pet-waste,0.6673795580863953,semantic
recycled pet bottles,recycled materials,0.6641013622283936,semantic
recycled pet bottles,recycled plastic,0.6598600149154663,semantic
recycled pet bottles,recycled plastic waste,0.6521223187446594,semantic
recycled pet bottles,recycled plastic materials,0.6516497135162354,semantic
natural ingredients,create microclimate,1.0,cooccurrence
natural ingredients,reduce moisture accumulation,1.0,cooccurrence
natural ingredients,silence rooms,1.0,cooccurrence
natural ingredients,provide thermal insulation,1.0,cooccurrence
natural ingredients,bond with protein glue,1.0,cooccurrence
natural ingredients,upcycled ingredients,0.6427481770515442,semantic
natural ingredients,natural raw materials,0.6288706064224243,semantic
natural ingredients,natural materials,0.62553471326828,semantic
natural stone,create installations,1.0,cooccurrence
natural stone,cut sheets,1.0,cooccurrence
natural stone,laminate materials,1.0,cooccurrence
natural stone,offer approach,1.0,cooccurrence
natural stone,belgian blue stone,0.6276975274085999,semantic
natural stone,bio-geo stone,0.710361897945404,semantic
natural stone,composite stone,0.6881110668182373,semantic
natural stone,lava stone,0.7002698183059692,semantic
natural stone,limestone,0.6320378184318542,semantic
natural stone,natural clay,0.665611743927002,semantic
natural stone,natural minerals,0.6768627762794495,semantic
natural stone,natural stones,0.9426154494285583,semantic
natural stone,natural stone and concrete,0.8251249194145203,semantic
natural stone,stone,0.7586103081703186,semantic
natural stone,polymer and natural stone,0.7168222665786743,semantic
natural stone,natural stone composites,0.710621178150177,semantic
natural stone,translucent stone,0.675349235534668,semantic
natural stone,polyurethane and natural stone,0.6622481346130371,semantic
natural stone,recycled natural stone aggregates,0.6330267786979675,semantic
natural stone,stoneware clay,0.6654513478279114,semantic
waterborne stain,protect-noun,1.0,cooccurrence
waterborne stain,accentuate-noun,1.0,cooccurrence
waterborne stain,durable-noun,1.0,cooccurrence
waterborne stain,maintain-noun,1.0,cooccurrence
flax fibers,provide structural support,1.0,cooccurrence
flax fibers,reduce environmental impact,1.0,cooccurrence
flax fibers,enable biobased composition,1.0,cooccurrence
flax fibers,flax,0.8007620573043823,semantic
flax fibers,flax fibre,0.9741071462631226,semantic
flax fibers,flax fibre composites,0.8863762021064758,semantic
flax fibers,flax yarn,0.8513490557670593,semantic
flax fibers,flax or kozo fibres,0.834863007068634,semantic
flax fibers,flax oil,0.7443177700042725,semantic
flax fibers,fibres,0.6706528663635254,semantic
flax fibers,plant fibers,0.670264482498169,semantic
flax fibers,fiber,0.6689181327819824,semantic
flax fibers,natural fibers,0.6683188080787659,semantic
flax fibers,flax fleece,0.6635954976081848,semantic
padding polymer,provide insulation,1.0,cooccurrence
padding polymer,replace down filling,1.0,cooccurrence
padding polymer,offer lightweight cushioning,1.0,cooccurrence
padding polymer,polymer,0.6709293127059937,semantic
padding polymer,polymer sheet,0.6697279810905457,semantic
padding polymer,poly fabric,0.6410181522369385,semantic
padding polymer,polymers,0.6388856768608093,semantic
padding polymer,polymer concrete,0.631350040435791,semantic
upcycled pet-waste,provide-acoustic insulation,1.0,cooccurrence
upcycled pet-waste,offer-decorative texture,1.0,cooccurrence
upcycled pet-waste,adhere-to surfaces,1.0,cooccurrence
upcycled pet-waste,recycled pet,0.791899561882019,semantic
upcycled pet-waste,recycled pet blend,0.6871655583381653,semantic
upcycled pet-waste,recycled pet felt,0.6902730464935303,semantic
upcycled pet-waste,recycled pet-waste,0.8549115657806396,semantic
synthetic resin plaster,apply-noun,1.0,cooccurrence
synthetic resin plaster,design-noun,1.0,cooccurrence
synthetic resin plaster,coat-noun,1.0,cooccurrence
synthetic resin plaster,spray-noun,1.0,cooccurrence
synthetic resin plaster,acrylic modified plaster,0.7262567281723022,semantic
synthetic resin plaster,acrylic-plaster mixture,0.7116148471832275,semantic
synthetic resin plaster,gypsum plaster,0.6676400899887085,semantic
synthetic resin plaster,lime plaster,0.6956478953361511,semantic
synthetic resin plaster,loam plaster,0.6268627643585205,semantic
synthetic resin plaster,mineral plaster,0.7132604718208313,semantic
synthetic resin plaster,plaster,0.7812897562980652,semantic
synthetic resin plaster,plaster cardboard,0.6834728717803955,semantic
synthetic resin plaster,synthetic resin,0.7870281934738159,semantic
synthetic resin plaster,natural resin,0.6819059252738953,semantic
synthetic resin plaster,cast resin,0.662489116191864,semantic
biopolymers,provide insulation,1.0,cooccurrence
biopolymers,offer biodegradability,1.0,cooccurrence
biopolymers,enable recycling,1.0,cooccurrence
biopolymers,support lightweight design,1.0,cooccurrence
biopolymers,algae-based biopolymer,0.7650625109672546,semantic
biopolymers,biocomposites,0.6255316734313965,semantic
biopolymers,biopolymer,0.9239287972450256,semantic
