source,functions,application
013 Denim,recycle-yarn; weave-fabric; support-innovation; connect-community,large work of art presented to the Dutch royal family
100% bacterial dye,produce pigments; create sustainable alternative; reduce water usage; minimize energy consumption,microbial colour library for dyeing textiles
Basalt knitted fabric,reinforce-fabric; prevent-algal growth; extend-residence time; conduct-heat poorly; resist-electricity,reinforcement fabric for maritime applications
100% Biobased Flax panel,provide structural support; reduce environmental impact; enable biobased composition,interior wall panels
100% rejects waxed printed cotton,recycle-textiles; create-carpets; reduce-waste; innovate-design,high-quality recycled carpets
"2,000,000,000 Precious Pieces",provide-novel materials; offer-aesthetic value; serve-as raw materials,manufacturing of bio composites
2.5D print,create-relief; dry-quickly; print-colourful-patterns,decorative wall panels with raised textures
2000N Pressed Shoe,moulding-material; testing-quality; minimizing-irregularities; applying-patterns; exploring-aesthetics,collection of shoes
2tec2 high tech flooring,reduce impact sounds; absorb footsteps; provide durability; enable easy cleaning,acoustically enhanced flooring for public spaces
2tec2 – Marble & Desert,provide-nature-inspired design; offer-durability; ensure-easy maintenance; deliver-acoustic properties; resist-UV exposure,high-quality floor coverings
2TEC2,provide strength; offer wear resistance; ensure stain resistance; allow moisture resistance; facilitate easy cleaning,durable bathroom carpet
3D Veneer,deep draw-veneer; form-stability; join-veneers; custom produce-parts,curved furniture components
37.5 technology CVC Woven,regulate-temperature; manage-humidity; remove-sweat; trap-energy,activewear garments that regulate body temperature
37.5 technology WPB laminate,attract-water vapour; remove-sweat; trap-energy,waterproof breathable jacket
3D Bamboo Wall panels,provide flame retardance; offer water repellence; allow paint application; create aesthetic texture,decorative wall paneling
3D biaxial knitted fabric,provide flexibility; offer structural stability; absorb force; maintain strength,high-performance composite structures
3D Brocade all-over Lurex,weave-decorative; produce-ornamental; create-embossed,decorative upholstery fabric
3D Composites,create-strong constructions; enhance-durability; reduce-waste; apply-colour and texture,lightweight aircraft components
3D core,provide-flexibility; improve-strength; create-hybrid,lightweight sandwich panels for structural components
3d-design,create three-dimensional structures; process with laser technology; form surfaces with vacuum,decorative wall panels with 3D effects
3D Engineered Sound Barrier,absorb-sound; muffle-noise; create-quiet-space,acoustic panels for residential interiors
3D Engraved Glass,engrave-image; create-customised-products; reduce-distortion,custom decorative panels with lighting
