name,url,source,functions,application,notes,model,prompt_tokens,completion_tokens
,https://materialdistrict.com/material/013-denim/,denim,recycle-yarn; weave-fabric; support-innovation; connect-community,large work of art presented to the Dutch royal family,Application derived from the text describing the use of the fabric in a specific art project.,gpt-4o-mini,1045,80
,https://materialdistrict.com/material/100-bacterial-dye/,bacterial dye,produce pigments; create sustainable alternative; reduce water usage; minimize energy consumption,microbial colour library for dyeing textiles,External knowledge about sustainable dyeing practices was used.,gpt-4o-mini,778,71
,https://materialdistrict.com/material/100-basalt-fabric/,Basalt,reinforce-fabric; prevent-algal growth; extend-residence time; conduct-heat poorly; resist-electricity,reinforcement fabric for maritime applications,External knowledge about basalt's properties and uses in maritime contexts was used.,gpt-4o-mini,762,83
,https://materialdistrict.com/material/100-biobased-flax-panel/,flax fibers,provide structural support; reduce environmental impact; enable biobased composition,interior wall panels,External knowledge about flax fibers and their applications was used.,gpt-4o-mini,869,64
,https://materialdistrict.com/material/100-rejects-waxed-printed-cotton/,cotton,recycle-textiles; create-carpets; reduce-waste; innovate-design,high-quality recycled carpets,"The application of recycled carpets is directly derived from the text, emphasizing the innovative use of rejected textiles.",gpt-4o-mini,900,78
,https://materialdistrict.com/material/2-000-000-000-precious-pieces/,waste flowers,provide-novel materials; offer-aesthetic value; serve-as raw materials,manufacturing of bio composites,External knowledge about material applications was used.,gpt-4o-mini,821,63
,https://materialdistrict.com/material/2-5d-print/,ink,create-relief; dry-quickly; print-colourful-patterns,decorative wall panels with raised textures,External knowledge about printing technologies and applications was used.,gpt-4o-mini,987,66
,https://materialdistrict.com/material/2000n-pressed-shoe/,Colback,moulding-material; testing-quality; minimizing-irregularities; applying-patterns; exploring-aesthetics,collection of shoes,External knowledge about Colback's use in automotive upholstery was used.,gpt-4o-mini,951,80
,https://materialdistrict.com/material/2tec2-high-tech-flooring/,vinyl,reduce impact sounds; absorb footsteps; provide durability; enable easy cleaning,acoustically enhanced flooring for public spaces,External knowledge about flooring applications was used.,gpt-4o-mini,789,67
,https://materialdistrict.com/material/2tec2-marble-desert/,marble,provide-nature-inspired design; offer-durability; ensure-easy maintenance; deliver-acoustic properties; resist-UV exposure,high-quality floor coverings,The application of high-quality floor coverings is implied by the text discussing the product's features and benefits.,gpt-4o-mini,926,89
